error_type,category,count
FP,airplane,37
FP,insects,35
FP,washing_machine,34
FP,helicopter,32
FP,fireworks,32
FP,engine,31
FP,train,30
FP,vacuum_cleaner,29
FP,snoring,29
FP,cow,29
FP,wind,28
FP,rain,28
FP,drinking_sipping,25
FP,toilet_flush,24
FP,sneezing,20
FP,sea_waves,20
FP,thunderstorm,19
FP,crackling_fire,16
FP,dog,15
FP,car_horn,14
FP,hand_saw,14
FP,laughing,13
FP,chirping_birds,13
FP,clapping,13
FP,sheep,13
FP,coughing,12
FP,church_bells,12
FP,crickets,11
FP,breathing,11
FP,water_drops,11
FP,pig,10
FP,mouse_click,10
FP,pouring_water,10
FP,clock_tick,7
FP,hen,7
FP,rooster,7
FP,can_opening,7
FP,crying_baby,7
FP,keyboard_typing,6
FP,brushing_teeth,6
FP,frog,3
FP,cat,2
FP,crow,2
FP,clock_alarm,1
FN,siren,26
FN,door_wood_creaks,23
FN,footsteps,21
FN,glass_breaking,19
FN,door_wood_knock,11
FN,chainsaw,7
