video,events,risk_score,risk_level
C021_A17_SY15_P01_S01_01DBS,"일반 이동, 수상한 체류",45,MEDIUM
C021_A17_SY15_P01_S02_01DBS,"반복 접근, 수상한 체류",70,MEDIUM
C021_A17_SY15_P01_S03_01NAS,"일반 이동, 반복 접근, 손 반복 행동, 강한 신체 움직임",120,HIGH
C021_A17_SY15_P01_S03_01NBS,"일반 이동, 반복 접근",35,MEDIUM
C021_A17_SY15_P01_S04_01DAS,"일반 이동, 반복 접근",35,MEDIUM
C021_A17_SY15_P01_S05_01DAS,"일반 이동, 반복 접근, 손 반복 행동",70,MEDIUM
C021_A17_SY15_P01_S05_01DBS,"일반 이동, 반복 접근, 손 반복 행동, 강한 신체 움직임",120,HIGH
C021_A17_SY15_P01_S06_01DAS,"일반 이동, 수상한 체류",45,MEDIUM
C021_A17_SY15_P01_S06_01DBS,"반복 접근, 비정상 상체 방향",50,MEDIUM
C021_A17_SY15_P01_S07_01DBS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A17_SY15_P01_S08_01DAS,"일반 이동, 반복 접근",35,MEDIUM
C021_A17_SY15_P01_S08_01DBS,"일반 이동, 반복 접근",35,MEDIUM
C021_A17_SY15_P01_S10_01DAS,"일반 이동, 반복 접근, 손 반복 행동, 강한 신체 움직임, 비정상 상체 방향",140,HIGH
C021_A17_SY15_P01_S10_01DBS,"반복 접근, 강한 신체 움직임, 문 조작 행동",105,HIGH
C021_A17_SY15_P01_S11_01DAS,"일반 이동, 손 반복 행동, 강한 신체 움직임, 수상한 체류",130,HIGH
C021_A17_SY15_P01_S11_01DBS,"반복 접근, 문 조작 행동",55,MEDIUM
C021_A17_SY15_P01_S13_01NBS,"일반 이동, 반복 접근, 비정상 상체 방향, 수상한 체류",95,HIGH
C021_A17_SY15_P07_S03_01DAS,"일반 이동, 반복 접근, 문 조작 행동, 수상한 체류",100,HIGH
C021_A17_SY15_P07_S03_01DBS,"일반 이동, 문 조작 행동, 수상한 체류",70,MEDIUM
C021_A17_SY15_P07_S06_01DAS,"일반 이동, 수상한 체류",45,MEDIUM
C021_A17_SY15_P07_S07_01DAS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A17_SY15_P07_S07_01DBS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A17_SY15_P07_S08_01DAS,"일반 이동, 반복 접근, 손 반복 행동, 문 조작 행동, 반복 도어락 조작",130,HIGH
C021_A17_SY15_P07_S09_01DBS,"일반 이동, 반복 접근, 문 조작 행동",60,MEDIUM
C021_A17_SY15_P07_S10_01DAS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
