video,track_id,events,risk_score,risk_level
C021_A20_SY15_P01_S01_01DAS,1,"일반 이동, 장시간 체류",25,LOW
C021_A20_SY15_P01_S01_01DAS,2,,0,LOW
C021_A20_SY15_P01_S01_01DAS,4,문 앞 배회,30,MEDIUM
C021_A20_SY15_P01_S01_01DBS,1,"일반 이동, 장시간 체류",25,LOW
C021_A20_SY15_P01_S01_02DAS,1,"일반 이동, 장시간 체류",25,LOW
C021_A20_SY15_P01_S01_02DAS,6,,0,LOW
C021_A20_SY15_P01_S01_02DAS,7,,0,LOW
C021_A20_SY15_P01_S01_02DAS,8,,0,LOW
C021_A20_SY15_P01_S01_02DAS,10,,0,LOW
C021_A20_SY15_P01_S01_02DBS,11,"일반 이동, 장시간 체류",25,LOW
C021_A20_SY15_P01_S01_02DBS,15,,0,LOW
C021_A20_SY15_P01_S01_02DBS,19,,0,LOW
C021_A20_SY15_P01_S02_01DAS,11,"일반 이동, 장시간 체류",25,LOW
C021_A20_SY15_P01_S02_01DAS,20,"장시간 체류, 문 앞 배회",50,MEDIUM
C021_A20_SY15_P01_S02_01DAS,23,,0,LOW
C021_A20_SY15_P01_S02_01DAS,24,,0,LOW
C021_A20_SY15_P01_S02_01DAS,25,,0,LOW
C021_A20_SY15_P01_S02_01DAS,26,,0,LOW
C021_A20_SY15_P01_S02_01DAS,33,,0,LOW
C021_A20_SY15_P01_S02_01DAS,35,,0,LOW
C021_A20_SY15_P01_S02_01DAS,36,,0,LOW
C021_A20_SY15_P01_S02_01DAS,37,,0,LOW
C021_A20_SY15_P01_S02_01DBS,38,"일반 이동, 장시간 체류",25,LOW
C021_A20_SY15_P01_S02_01DBS,40,,0,LOW
C021_A20_SY15_P01_S02_01DBS,44,,0,LOW
C021_A20_SY15_P01_S02_01DBS,45,,0,LOW
C021_A20_SY15_P01_S02_01DBS,48,,0,LOW
C021_A20_SY15_P01_S02_01DBS,50,,0,LOW
C021_A20_SY15_P01_S02_02DAS,38,"일반 이동, 장시간 체류",25,LOW
C021_A20_SY15_P01_S02_02DAS,54,,0,LOW
C021_A20_SY15_P01_S02_02DAS,56,"장시간 체류, 문 앞 배회",50,MEDIUM
C021_A20_SY15_P01_S02_02DAS,57,,0,LOW
C021_A20_SY15_P01_S02_02DAS,61,,0,LOW
C021_A20_SY15_P01_S02_02DAS,62,,0,LOW
C021_A20_SY15_P01_S02_02DAS,67,,0,LOW
C021_A20_SY15_P01_S02_02DAS,68,,0,LOW
C021_A20_SY15_P01_S02_02DBS,69,"일반 이동, 장시간 체류",25,LOW
C021_A20_SY15_P01_S02_02DBS,72,,0,LOW
C021_A20_SY15_P01_S02_02DBS,73,,0,LOW
C021_A20_SY15_P01_S02_02DBS,74,,0,LOW
C021_A20_SY15_P01_S02_02DBS,75,,0,LOW
C021_A20_SY15_P01_S02_02DBS,76,,0,LOW
C021_A20_SY15_P01_S03_01NAS,79,"일반 이동, 장시간 체류",25,LOW
C021_A20_SY15_P01_S03_01NAS,80,,0,LOW
C021_A20_SY15_P01_S03_01NAS,84,,0,LOW
C021_A20_SY15_P01_S03_01NAS,85,,0,LOW
C021_A20_SY15_P01_S03_01NAS,87,,0,LOW
C021_A20_SY15_P01_S03_01NAS,91,,0,LOW
C021_A20_SY15_P01_S03_01NAS,92,,0,LOW
C021_A20_SY15_P01_S03_01NAS,94,,0,LOW
C021_A20_SY15_P01_S03_01NAS,95,,0,LOW
C021_A20_SY15_P01_S03_01NAS,96,,0,LOW
C021_A20_SY15_P01_S03_01NBS,98,"일반 이동, 장시간 체류",25,LOW
C021_A20_SY15_P01_S03_01NBS,99,,0,LOW
C021_A20_SY15_P01_S03_01NBS,103,일반 이동,5,LOW
C021_A20_SY15_P01_S03_02NAS,98,"일반 이동, 장시간 체류",25,LOW
C021_A20_SY15_P01_S03_02NAS,106,,0,LOW
C021_A20_SY15_P01_S03_02NAS,108,,0,LOW
C021_A20_SY15_P01_S03_02NAS,109,,0,LOW
C021_A20_SY15_P01_S03_02NAS,111,,0,LOW
C021_A20_SY15_P01_S03_02NAS,113,,0,LOW
C021_A20_SY15_P01_S03_02NAS,114,,0,LOW
C021_A20_SY15_P01_S03_02NAS,115,,0,LOW
C021_A20_SY15_P01_S03_02NAS,119,,0,LOW
C021_A20_SY15_P01_S03_02NAS,122,,0,LOW
C021_A20_SY15_P01_S03_02NAS,123,,0,LOW
C021_A20_SY15_P01_S03_02NAS,124,,0,LOW
C021_A20_SY15_P01_S03_02NAS,127,,0,LOW
C021_A20_SY15_P01_S03_02NAS,133,,0,LOW
C021_A20_SY15_P01_S03_02NAS,134,,0,LOW
C021_A20_SY15_P01_S03_02NAS,135,,0,LOW
C021_A20_SY15_P01_S03_02NAS,136,,0,LOW
C021_A20_SY15_P01_S03_02NBS,137,"일반 이동, 장시간 체류",25,LOW
C021_A20_SY15_P01_S03_02NBS,138,,0,LOW
C021_A20_SY15_P01_S03_02NBS,140,,0,LOW
C021_A20_SY15_P01_S03_02NBS,141,,0,LOW
C021_A20_SY15_P01_S03_02NBS,144,,0,LOW
C021_A20_SY15_P01_S04_01DAS,148,"일반 이동, 장시간 체류",25,LOW
C021_A20_SY15_P01_S04_01DAS,149,,0,LOW
C021_A20_SY15_P01_S04_01DAS,150,,0,LOW
C021_A20_SY15_P01_S04_01DAS,151,,0,LOW
C021_A20_SY15_P01_S04_01DBS,155,"일반 이동, 장시간 체류",25,LOW
C021_A20_SY15_P01_S04_01DBS,162,,0,LOW
C021_A20_SY15_P01_S04_01DBS,164,,0,LOW
C021_A20_SY15_P01_S04_01DBS,165,,0,LOW
C021_A20_SY15_P01_S04_01DBS,167,,0,LOW
C021_A20_SY15_P01_S04_01DBS,170,,0,LOW
C021_A20_SY15_P01_S04_01DBS,173,,0,LOW
C021_A20_SY15_P01_S04_01DBS,174,,0,LOW
C021_A20_SY15_P01_S04_01DBS,178,,0,LOW
C021_A20_SY15_P01_S04_01DBS,181,,0,LOW
C021_A20_SY15_P01_S04_02DAS,186,"일반 이동, 장시간 체류",25,LOW
C021_A20_SY15_P01_S04_02DAS,188,,0,LOW
C021_A20_SY15_P01_S04_02DAS,190,,0,LOW
C021_A20_SY15_P01_S04_02DAS,192,,0,LOW
C021_A20_SY15_P01_S04_02DAS,195,,0,LOW
C021_A20_SY15_P01_S04_02DAS,197,,0,LOW
C021_A20_SY15_P01_S04_02DBS,186,"일반 이동, 장시간 체류",25,LOW
C021_A20_SY15_P01_S04_02DBS,199,,0,LOW
C021_A20_SY15_P01_S04_02DBS,201,,0,LOW
C021_A20_SY15_P01_S04_02DBS,205,,0,LOW
C021_A20_SY15_P01_S04_02DBS,211,,0,LOW
C021_A20_SY15_P01_S04_02DBS,214,,0,LOW
C021_A20_SY15_P01_S04_02DBS,216,,0,LOW
C021_A20_SY15_P01_S04_02DBS,218,,0,LOW
C021_A20_SY15_P01_S04_02DBS,219,,0,LOW
C021_A20_SY15_P01_S04_02DBS,221,,0,LOW
C021_A20_SY15_P01_S04_02DBS,223,,0,LOW
C021_A20_SY15_P01_S04_02DBS,224,,0,LOW
C021_A20_SY15_P01_S04_02DBS,225,,0,LOW
C021_A20_SY15_P01_S04_02DBS,226,,0,LOW
C021_A20_SY15_P01_S04_02DBS,227,,0,LOW
C021_A20_SY15_P01_S04_02DBS,228,,0,LOW
C021_A20_SY15_P01_S04_02DBS,229,,0,LOW
C021_A20_SY15_P01_S04_02DBS,230,,0,LOW
C021_A20_SY15_P01_S04_02DBS,231,,0,LOW
C021_A20_SY15_P01_S05_01DAS,186,"일반 이동, 장시간 체류",25,LOW
C021_A20_SY15_P01_S05_01DAS,232,장시간 체류,20,LOW
C021_A20_SY15_P01_S05_01DBS,234,"일반 이동, 장시간 체류",25,LOW
C021_A20_SY15_P01_S05_01DBS,236,,0,LOW
C021_A20_SY15_P01_S05_01DBS,237,,0,LOW
C021_A20_SY15_P01_S05_01DBS,238,,0,LOW
C021_A20_SY15_P01_S05_01DBS,239,,0,LOW
C021_A20_SY15_P01_S05_01DBS,241,,0,LOW
C021_A20_SY15_P01_S05_01DBS,242,,0,LOW
C021_A20_SY15_P01_S05_01DBS,244,,0,LOW
C021_A20_SY15_P01_S05_01DBS,245,,0,LOW
C021_A20_SY15_P01_S05_02DAS,246,"일반 이동, 장시간 체류",25,LOW
C021_A20_SY15_P01_S05_02DAS,247,장시간 체류,20,LOW
C021_A20_SY15_P01_S05_02DAS,249,,0,LOW
C021_A20_SY15_P01_S05_02DAS,250,,0,LOW
C021_A20_SY15_P01_S05_02DAS,251,,0,LOW
C021_A20_SY15_P01_S05_02DAS,253,,0,LOW
