module,video,events,risk_score,risk_level
vision,(정상)문열고들어감2,"['손 반복 행동', '문 조작 행동', '비정상 상체 방향', '카메라 가림', '반복 도어락 조작']",80,HIGH
vision,노크,['비정상 상체 방향'],15,NORMAL
vision,노크2,"['손 반복 행동', '비정상 상체 방향']",30,LOW
vision,뒤로지나감,"['일반 이동', '손 반복 행동', '문 조작 행동', '비정상 상체 방향']",43,LOW
vision,비번틀림반복,"['손 반복 행동', '비정상 상체 방향', '수상한 체류']",50,MIDDLE
vision,사용자뒤접근,"['손 반복 행동', '사용자 뒤 접근']",90,HIGH
vision,외부인혼자지나감,"['일반 이동', '문 조작 행동', '비정상 상체 방향']",28,LOW
vision,정상(문열고 들어감),['일반 이동'],3,NORMAL
vision,카메라가림,"['문 조작 행동', '비정상 상체 방향', '카메라 가림']",50,MIDDLE
vision,택배배달,"['일반 이동', '비정상 상체 방향']",18,NORMAL
vision,택배배달2,"['일반 이동', '비정상 상체 방향']",18,NORMAL
