video,label,block_type,start_frame,end_frame,source
C021_A20_SY15_P01_B04_01DAS.mp4,N1,normal,0,299,AIHub
C021_A20_SY15_P01_B04_01DAS.mp4,A20,action,1889,3400,AIHub
C021_A20_SY15_P01_B04_01DAS.mp4,N1,normal,3401,3598,AIHub
C021_A20_SY15_P07_B01_02DAS.mp4,N1,normal,0,299,AIHub
C021_A20_SY15_P07_B01_02DAS.mp4,A20,action,1830,3379,AIHub
C021_A20_SY15_P07_B01_02DAS.mp4,N1,normal,3380,3598,AIHub
C021_A20_SY15_P01_B10_02DAS.mp4,N1,normal,0,199,AIHub
C021_A20_SY15_P01_B10_02DAS.mp4,A20,action,1700,3379,AIHub
C021_A20_SY15_P01_B10_02DAS.mp4,N1,normal,3380,3597,AIHub
C021_A18_SY16_P01_S13_01NBS.mp4,N1,normal,0,288,AIHub
C021_A18_SY16_P01_S13_01NBS.mp4,A18,action,1842,3403,AIHub
C021_A18_SY16_P01_S13_01NBS.mp4,N1,normal,3404,3597,AIHub
C021_A18_SY15_P01_S09_02DAS.mp4,N1,normal,0,279,AIHub
C021_A18_SY15_P01_S09_02DAS.mp4,A18,action,1800,3449,AIHub
C021_A18_SY15_P01_S09_02DAS.mp4,N1,normal,3450,3597,AIHub
C021_A20_SY16_P01_S10_02DAS.mp4,N1,normal,0,299,AIHub
C021_A20_SY16_P01_S10_02DAS.mp4,A20,action,1912,3299,AIHub
C021_A20_SY16_P01_S10_02DAS.mp4,N1,normal,3300,3597,AIHub
C021_A18_SY15_P07_S10_03DBS.mp4,N1,normal,0,299,AIHub
C021_A18_SY15_P07_S10_03DBS.mp4,A18,action,1800,3459,AIHub
C021_A18_SY15_P07_S10_03DBS.mp4,N1,normal,3460,3597,AIHub
C021_A18_SY17_P01_S03_02NBS.mp4,N1,normal,0,250,AIHub
C021_A18_SY17_P01_S03_02NBS.mp4,A18,action,1751,3260,AIHub
C021_A18_SY17_P01_S03_02NBS.mp4,N1,normal,3261,3597,AIHub
C021_A20_SY15_P01_S08_01DAS.mp4,N1,normal,0,289,AIHub
C021_A20_SY15_P01_S08_01DAS.mp4,A20,action,1800,3384,AIHub
C021_A20_SY15_P01_S08_01DAS.mp4,N1,normal,3385,3597,AIHub
C021_A20_SY15_P07_B06_02DBS.mp4,N1,normal,0,239,AIHub
C021_A20_SY15_P07_B06_02DBS.mp4,A20,action,1760,3329,AIHub
C021_A20_SY15_P07_B06_02DBS.mp4,N1,normal,3330,3598,AIHub
C021_A21_SY16_P07_S02_01DBS.mp4,A21,action,1790,3329,AIHub
C021_A21_SY16_P07_S02_01DBS.mp4,N1,normal,3330,3597,AIHub
C021_A17_SY15_P01_S11_01DAS.mp4,N1,normal,0,239,AIHub
C021_A17_SY15_P01_S11_01DAS.mp4,A17,action,1710,3369,AIHub
C021_A17_SY15_P01_S11_01DAS.mp4,N1,normal,3370,3597,AIHub
C021_A20_SY16_P07_S06_01DBS.mp4,N1,normal,0,299,AIHub
C021_A20_SY16_P07_S06_01DBS.mp4,A20,action,1740,3299,AIHub
C021_A20_SY16_P07_S06_01DBS.mp4,N1,normal,3300,3597,AIHub
C021_A18_SY16_P07_S02_03DBS.mp4,N1,normal,0,500,AIHub
C021_A18_SY16_P07_S02_03DBS.mp4,A18,action,2121,3500,AIHub
C021_A18_SY16_P07_S02_03DBS.mp4,N1,normal,3501,3597,AIHub
C021_A20_SY17_P07_S03_02DBS.mp4,N1,normal,0,300,AIHub
C021_A20_SY17_P07_S03_02DBS.mp4,A20,action,1801,3300,AIHub
C021_A20_SY17_P07_S03_02DBS.mp4,N1,normal,3301,3597,AIHub
C021_A18_SY15_P01_S07_01DBS.mp4,N1,normal,0,209,AIHub
C021_A18_SY15_P01_S07_01DBS.mp4,A18,action,1900,3349,AIHub
C021_A18_SY15_P01_S07_01DBS.mp4,N1,normal,3350,3597,AIHub
C021_A20_SY15_P07_B12_02NBS.mp4,N1,normal,0,280,AIHub
C021_A20_SY15_P07_B12_02NBS.mp4,A20,action,1850,3399,AIHub
C021_A20_SY15_P07_B12_02NBS.mp4,N1,normal,3400,3600,AIHub
C021_A18_SY17_P01_S03_01NAS.mp4,N1,normal,0,380,AIHub
C021_A18_SY17_P01_S03_01NAS.mp4,A18,action,1961,3390,AIHub
C021_A18_SY17_P01_S03_01NAS.mp4,N1,normal,3391,3597,AIHub
C021_A18_SY15_P01_S11_01DAS.mp4,N1,normal,0,229,AIHub
C021_A18_SY15_P01_S11_01DAS.mp4,A18,action,1800,3439,AIHub
C021_A18_SY15_P01_S11_01DAS.mp4,N1,normal,3440,3597,AIHub
C021_A18_SY15_P07_S10_02DBS.mp4,N1,normal,0,99,AIHub
C021_A18_SY15_P07_S10_02DBS.mp4,A18,action,1600,3159,AIHub
C021_A18_SY15_P07_S10_02DBS.mp4,N1,normal,3160,3597,AIHub
C021_A18_SY15_P07_S06_01DAS.mp4,N1,normal,0,364,AIHub
C021_A18_SY15_P07_S06_01DAS.mp4,A18,action,1935,3420,AIHub
C021_A18_SY15_P07_S06_01DAS.mp4,N1,normal,3421,3597,AIHub
C021_A20_SY15_P07_B07_01DAS.mp4,N1,normal,0,225,AIHub
C021_A20_SY15_P07_B07_01DAS.mp4,A20,action,1840,3359,AIHub
C021_A20_SY15_P07_B07_01DAS.mp4,N1,normal,3360,3598,AIHub
C021_A20_SY15_P01_B09_01DAS.mp4,N1,normal,0,459,AIHub
C021_A20_SY15_P01_B09_01DAS.mp4,A20,action,1970,3299,AIHub
C021_A20_SY15_P07_B13_02NAS.mp4,N1,normal,0,199,AIHub
C021_A20_SY15_P07_B13_02NAS.mp4,A20,action,1700,3299,AIHub
C021_A20_SY15_P07_B13_02NAS.mp4,N1,normal,3300,3601,AIHub
C021_A19_SY15_P01_B02_01DBS.mp4,A19,action,2000,3499,AIHub
C021_A19_SY15_P01_B02_01DBS.mp4,N01,normal,3500,3597,AIHub
C021_A18_SY17_P01_S02_01DBS.mp4,N1,normal,0,420,AIHub
C021_A18_SY17_P01_S02_01DBS.mp4,A18,action,2041,3299,AIHub
C021_A18_SY17_P01_S02_01DBS.mp4,N1,normal,3300,3597,AIHub
C021_A18_SY15_P01_S08_02DAS.mp4,N1,normal,0,144,AIHub
C021_A18_SY15_P01_S08_02DAS.mp4,A18,action,1670,3309,AIHub
C021_A18_SY15_P01_S08_02DAS.mp4,N1,normal,3310,3597,AIHub
C021_A21_SY16_P07_B02_02DBS.mp4,A17,action,1780,3299,AIHub
C021_A21_SY16_P07_B02_02DBS.mp4,N1,normal,3300,3597,AIHub
C021_A20_SY15_P01_B09_02DBS.mp4,N1,normal,0,199,AIHub
C021_A20_SY15_P01_B09_02DBS.mp4,A20,action,1700,3279,AIHub
C021_A20_SY15_P01_B09_02DBS.mp4,N1,normal,3280,3597,AIHub
C021_A18_SY16_P07_S13_02NAS.mp4,N1,normal,0,204,AIHub
C021_A18_SY16_P07_S13_02NAS.mp4,A18,action,1776,3397,AIHub
C021_A18_SY16_P07_S13_02NAS.mp4,N1,normal,3398,3600,AIHub
C021_A18_SY16_P07_S03_03DAS.mp4,N1,normal,0,470,AIHub
C021_A18_SY16_P07_S03_03DAS.mp4,A18,action,2071,3430,AIHub
C021_A18_SY16_P07_S03_03DAS.mp4,N1,normal,3431,3597,AIHub
C021_A20_SY15_P01_B12_02NAS.mp4,N1,normal,0,179,AIHub
